Año,Trimestre,Fertilizantes (COP),Semillas (COP),Herramientas (COP),Transporte (COP),Total (COP)
2023,Q1,"4.500.000","2.800.000","1.200.000","850.000","9.350.000"
2023,Q2,"5.200.000","3.100.000","950.000","920.000","10.170.000"
2023,Q3,"4.800.000","2.500.000","1.100.000","780.000","9.180.000"
2023,Q4,"5.500.000","3.400.000","1.350.000","1.100.000","11.350.000"
2024,Q1,"4.700.000","2.950.000","1.250.000","890.000","9.790.000"
2024,Q2,"5.450.000","3.250.000","1.000.000","970.000","10.670.000"
2024,Q3,"5.050.000","2.650.000","1.150.000","820.000","9.670.000"
2024,Q4,"5.800.000","3.600.000","1.420.000","1.150.000","11.970.000"
2025,Q1,"4.950.000","3.100.000","1.320.000","935.000","10.305.000"
2025,Q2,"5.700.000","3.420.000","1.050.000","1.020.000","11.190.000"
2025,Q3,"5.300.000","2.800.000","1.210.000","865.000","10.175.000"
2025,Q4,"6.100.000","3.800.000","1.500.000","1.210.000","12.610.000"
