Año,Mes,Cantidad Vendida (kg),Precio Promedio (COP/kg),Ingreso Total (COP)
2023,Enero,"1.200","9.000","10.800.000"
2023,Febrero,"1.150","9.100","10.465.000"
2023,Marzo,"1.300","9.200","11.960.000"
2023,Abril,"1.450","9.300","13.485.000"
2023,Mayo,"1.600","9.400","15.040.000"
2023,Junio,"1.700","9.500","16.150.000"
2023,Julio,"1.550","9.600","14.880.000"
2023,Agosto,"1.400","9.700","13.580.000"
2023,Septiembre,"1.350","9.800","13.230.000"
2023,Octubre,"1.500","9.900","14.850.000"
2023,Noviembre,"1.650","10.000","16.500.000"
2023,Diciembre,"1.800","10.100","18.180.000"
2024,Enero,"1.250","9.800","12.250.000"
2024,Febrero,"1.200","9.900","11.880.000"
2024,Marzo,"1.350","10.000","13.500.000"
2024,Abril,"1.500","10.100","15.150.000"
2024,Mayo,"1.650","10.200","16.830.000"
2024,Junio,"1.750","10.300","18.025.000"
2024,Julio,"1.600","10.400","16.640.000"
2024,Agosto,"1.450","10.500","15.225.000"
2024,Septiembre,"1.400","10.600","14.840.000"
2024,Octubre,"1.550","10.700","16.585.000"
2024,Noviembre,"1.700","10.800","18.360.000"
2024,Diciembre,"1.850","10.900","20.165.000"
2025,Enero,"1.300","10.200","13.260.000"
2025,Febrero,"1.250","10.300","12.875.000"
2025,Marzo,"1.400","10.400","14.560.000"
2025,Abril,"1.550","10.500","16.275.000"
2025,Mayo,"1.700","10.600","18.020.000"
2025,Junio,"1.800","10.700","19.260.000"
2025,Julio,"1.650","10.800","17.820.000"
2025,Agosto,"1.500","10.900","16.350.000"
2025,Septiembre,"1.450","11.000","15.950.000"
2025,Octubre,"1.600","11.100","17.760.000"
2025,Noviembre,"1.750","11.200","19.600.000"
2025,Diciembre,"1.900","11.300","21.470.000"
